15-1032.00,1555.0
15-1033,3.0
15-1033.00,3.0
15-1034,3068.0
15-1034.00,59.0
15-1035,1115.0
15-1035.00,19.0
15-1036,592.0
15-1036.00,10.0
15-1037,434.0
15-1037.00,9.0
15-1041,1715.0
15-1041.00,70.0
15-1050,1.0
15-1051,73890.0
15-1051.00,2937.0
15-1052,2068.0
15-1052.00,45.0
15-1053,584.0
15-1053.00,12.0
15-1054,26.0
15-1055,24.0
15-1061,7450.0
15-1061.00,335.0
15-1071,8502.0
15-1071.00,376.0
15-1071.01,37.0
15-1081,2124.0
15-1081.00,169.0
15-1099,17905.0
15-1099-01,5.0
15-1099-08,1.0
15-1099.00,22.0
15-1099.01,1076.0
15-1099.02,356.0
15-1099.03,2.0
15-1099.04,67.0
15-1099.05,6.0
15-1099.06,2.0
15-1099.07,4.0
15-1099.08,6.0
15-1099.09,4.0
15-1099.10,43.0
15-1099.11,55.0
15-1099.13,9.0
15-1099.14,1.0
15-1099.99,168.0
15-1101,1.0
15-111,2.0
15-1111,8400.0
15-1111.00,75.0
15-1112,1.0
15-11131,3.0
15-11133,2.0
15-1119,3.0
15-1119.09,1.0
15-112,5.0
15-1121,596950.0
15-1121-00,1.0
15-1121.0,2.0
15-1121.00,1408.0
15-1121.01,4.0
15-11212,1.0
15-1122,5392.0
15-1122.00,20.0
15-113,2.0
15-1130,4.0
15-1130.0,1.0
15-1131,433401.0
15-1131.0,1.0
15-1131.00,344.0
15-1131`,1.0
15-1132,538554.0
15-1132.,1.0
15-1132.00,2164.0
15-1132.15,1.0
15-11323,1.0
15-1133,102189.0
15-1133.00,495.0
15-1134,19257.0
15-1134.00,20.0
15-11352,1.0
15-1139,1.0
15-1141,43088.0
15-1141.00,224.0
15-11412,1.0
15-1142,55748.0
15-1142.00,160.0
15-1143,3545.0
15-1143.00,9.0
15-1143.01,5.0
15-1147,1.0
15-1150,2061.0
15-1150.00,4.0
15-1151,2908.0
15-1151.00,16.0
15-1152,2135.0
15-1152.00,1.0
15-1179,4027.0
15-1179.00,4.0
15-11799,1.0
15-119.01,1.0
15-119.02,1.0
15-119.08,2.0
15-119.09,2.0
15-1191,3.0
15-1191.01,4.0
15-1192.02,1.0
15-1199,214834.0
15-1199-01,4.0
15-1199-02,2.0
15-1199.00,35.0
15-1199.01,3446.0
15-1199.02,4227.0
15-1199.03,14.0
15-1199.04,14.0
15-1199.05,5.0
15-1199.06,67.0
15-1199.07,104.0
15-1199.08,893.0
15-1199.09,1703.0
15-1199.10,22.0
15-1199.11,5.0
15-1199.12,123.0
15-1199.9,1.0
15-1199302,1.0
15-1211,2.0
15-12131,1.0
15-1311,15.0
15-1311.00,1.0
15-1331,1.0
15-1411,2.0
15-1411.00,1.0
15-1701,1.0
15-1799,51937.0
15-1799.00,84.0
15-1799.01,9.0
15-1799.02,3.0
15-1799.09,5.0
15-199.02,4.0
15-1990.09,1.0
15-1990.1,1.0
15-1999,1.0
15-1999.09,1.0
15-201,2.0
15-2011,4535.0
15-2011.00,110.0
15-2012,1.0
15-2013,2.0
15-2013.1,2.0
15-2014,2.0
15-2021,2606.0
15-2021.00,51.0
15-203,1.0
15-2031,46298.0
15-2031.00,673.0
15-204,1.0
15-2040,1.0
15-2041,23626.0
15-2041.00,388.0
15-2041.01,75.0
15-2041.02,46.0
15-2041.2,1.0
15-2051,1.0
15-2071,1.0
15-2091,242.0
15-2091.00,6.0
15-2099,366.0
15-2099.99,5.0
15-2232,1.0
15-3032,2.0
15-311,1.0
15-331,1.0
15-799,2.0
15-9999.08,1.0
16-1161,1.0
17-011,1.0
17-1001,1.0
17-1011,8423.0
17-1011.00,136.0
17-1012,1470.0
17-1012.00,19.0
17-1021,420.0
17-1021.00,7.0
17-1022,271.0
17-1022.00,2.0
17-1023,1.0
17-1072,1.0
17-1099,21.0
17-1099.00,3.0
17-2001,2.0
17-2002,11.0
17-2002.00,1.0
17-2011,2502.0
17-2011.00,71.0
17-2012,3.0
17-2012.00,1.0
17-20151,1.0
17-2016,1.0
17-2017.00,1.0
17-2021,790.0
17-2021.00,7.0
17-2027,1.0
17-2031,6668.0
17-2031.00,211.0
17-2041,10029.0
17-2041.00,253.0
17-2051,21842.0
17-2051.00,334.0
17-2051.01,11.0
17-2052,102.0
17-2052.00,4.0
17-2053,883.0
17-2053.00,28.0
17-2061,8122.0
17-2061.0,1.0
17-2061.00,142.0
17-2062,33.0
17-2063,44.0
17-2063.00,3.0
17-2071,43810.0
17-2071-00,2.0
17-2071.00,1216.0
17-2072,46158.0
17-2072.00,968.0
17-2073,216.0
17-2073.00,3.0
17-2074,1879.0
17-2074.00,76.0
17-2075,662.0
17-2075.00,4.0
17-2076,342.0
17-2076.00,8.0
17-2081,3756.0
17-2081.00,61.0
17-2081.01,9.0
17-2111,1451.0
17-2111.00,13.0
17-2111.01,9.0
17-2111.02,3.0
17-2111.03,20.0
17-2112,25001.0
17-2112.00,466.0
17-2112.01,15.0
17-2119,1.0
17-2121,1760.0
17-2121.00,12.0
17-2121.01,10.0
17-2121.02,2.0
17-21231,3.0
17-2124,1.0
17-2131,8208.0
17-2131.00,139.0
17-2140,3.0
17-2141,58503.0
17-2141.00,786.0
17-2141.01,6.0
17-2141.02,64.0
17-2143,172.0
17-2143.00,1.0
17-2144,1979.0
17-2144.00,79.0
17-2151,1067.0
17-2151.00,21.0
17-2161,428.0
17-2161.00,18.0
17-2171,3319.0
17-2171.00,58.0
17-2199,16554.0
17-2199.00,12.0
17-2199.01,13.0
17-2199.02,150.0
17-2199.03,20.0
17-2199.04,152.0
17-2199.05,12.0
17-2199.07,18.0
17-2199.08,6.0
17-2199.09,3.0
17-2199.10,2.0
17-2199.11,3.0
17-2199.99,114.0
17-3011,5441.0
17-3011.00,9.0
17-3011.01,49.0
17-3011.02,1.0
17-3012,133.0
17-3012.02,3.0
17-3013,366.0
17-3019,82.0
17-3021,224.0
17-3021.00,9.0
17-3022,508.0
17-3022.00,4.0
17-3023,1567.0
17-3023.00,16.0
17-3023.01,4.0
17-3023.02,1.0
17-3023.03,4.0
17-3024,52.0
17-3025,180.0
17-3025.00,4.0
17-3026,281.0
17-3026.00,7.0
17-3027,553.0
17-3027.00,6.0
17-3029,1323.0
17-3029.00,4.0
17-3029.02,4.0
17-3029.03,2.0
17-3029.04,5.0
17-3029.05,6.0
17-3029.06,4.0
17-3029.07,1.0
17-3029.11,1.0
17-3029.99,2.0
17-3031,46.0
17-3031.00,1.0
17-3032,1.0
17-3203,3.0
17-3203.00,1.0
19-021,1.0
19-1002,43.0
19-1002.00,2.0
19-1010,31.0
19-1011,942.0
19-1011.00,37.0
19-1012,3978.0
19-1012.00,78.0
19-1013,3843.0
19-1013.00,105.0
19-1013.01,13.0
19-1013.02,2.0
19-1020,402.0
19-1020.00,18.0
19-1020.01,24.0
19-1021,27770.0
19-1021.00,924.0
19-1021.01,174.0
19-1021.02,25.0
19-1022,4634.0
19-1022.00,166.0
19-1023,700.0
19-1023.00,11.0
19-1024,2.0
19-1029,21747.0
19-1029.00,357.0
19-1029.01,143.0
19-1029.02,227.0
19-1029.03,29.0
19-1029.99,191.0
19-1031,139.0
19-1031.00,2.0
19-1031.02,1.0
19-1032,55.0
19-1032.00,2.0
19-104,1.0
19-1040,22.0
19-1041,1105.0
19-1041.00,23.0
19-1042,33488.0
19-1042.00,1032.0
19-1061,1.0
19-1063,3.0
19-1069,1.0
19-1099,4309.0
19-1099.00,1.0
19-1099.99,145.0
19-1141,1.0
19-2001,2.0
19-2001.00,1.0
19-2002,27.0
19-2002.00,6.0
19-2011,817.0
19-2011.00,36.0
19-2012,7402.0
19-2012.0,1.0
19-2012.00,249.0
19-2014,1.0
19-2021,1211.0
19-2021.00,36.0
19-2021.01,1.0
19-2023,1.0
19-2029,1.0
19-2031,16971.0
19-2031.00,373.0
19-2032,6014.0
19-2032.00,162.0
19-2041,2403.0
19-2041.00,67.0
19-2042,4304.0
19-2042.00,127.0
19-2042.01,22.0
19-2043,525.0
19-2043.00,24.0
19-2099,1967.0
19-2099.00,4.0
19-2099.01,4.0
19-2099.99,50.0
19-3001,2.0
19-3002,2.0
19-3011,6400.0
19-3011.00,158.0
19-3011.01,3.0
19-302,1.0
19-3021,13001.0
19-3021-00,3.0
19-3021.00,509.0
19-3022,782.0
19-3022.00,22.0
19-3031,1001.0
19-3031.00,10.0
19-3031.01,1.0
19-3031.02,7.0
19-3031.03,1.0
19-3032,380.0
19-3032.00,10.0
19-3039,677.0
19-3039.00,15.0
19-3039.99,3.0
19-3041,557.0
19-3041.00,4.0
19-3051,1325.0
19-3051.00,9.0
19-3091,96.0
19-3091.00,1.0
19-3092,626.0
19-3092.00,24.0
19-3093,83.0
19-3094,484.0
19-3094.00,16.0
19-3099,895.0
19-3099.00,4.0
19-3099.01,10.0
19-3099.99,26.0
19-4002,7.0
19-4011,566.0
19-4011.00,3.0
19-4011.02,2.0
19-4020,1.0
19-4021,9971.0
19-4021.00,422.0
19-4031,1086.0
19-4031.00,29.0
19-4041,973.0
19-4041.00,9.0
19-4041.01,12.0
19-4041.02,1.0
19-4051,20.0
19-4061,3248.0
19-4061.00,100.0
19-4061.01,3.0
19-4091,322.0
19-4091.00,5.0
19-4092,69.0
19-4092.00,3.0
19-4093,15.0
19-4099,1028.0
19-4099.01,17.0
19-4099.99,32.0
20-1062,3.0
20-1063,1.0
20-1066,1.0
20-1067,1.0
20-2011,1.0
21-1011,269.0
21-1011.00,4.0
21-1012,1744.0
21-1012.00,30.0
21-1013,296.0
21-1013.00,4.0
21-1014,1328.0
21-1014.00,10.0
21-1015,1131.0
21-1015.00,46.0
21-1019,352.0
21-1019.00,1.0
21-1019.99,2.0
21-1021,809.0
21-1021.00,23.0
21-1022,576.0
21-1022.00,4.0
21-1023,553.0
21-1023.00,5.0
21-1029,400.0
21-1029.00,1.0
21-1029.99,2.0
21-1091,1770.0
21-1091.00,20.0
21-1092,13.0
21-1093,197.0
21-1093.00,1.0
21-1094,59.0
21-1099,365.0
21-1099.00,2.0
21-1099.99,4.0
21-1129,1.0
21-1798,146.0
21-2011,1103.0
21-2011.00,30.0
21-2021,725.0
21-2021.00,8.0
21-2099,128.0
22-2022.00,1.0
23-1011,10987.0
23-1011.00,216.0
23-1012,1749.0
23-1012.00,4.0
23-1021,8.0
23-1022,28.0
23-2011,1977.0
23-2011.00,21.0
23-2092,1127.0
23-2092.00,34.0
23-2093,4.0
23-2099,882.0
23-2099.00,8.0
23-2099.99,2.0
24-1041,1.0
24-1124,1.0
25-1-32,1.0
25-1011,7415.0
25-1011.00,177.0
25-1021,3619.0
25-1021.00,53.0
25-1022,5890.0
25-1022.00,118.0
25-1031,901.0
25-1031.00,14.0
25-1032,6805.0
25-1032.00,181.0
25-1040,1.0
25-1041,578.0
25-1041.00,19.0
25-1042,2543.0
25-1042.00,53.0
25-1043,138.0
25-1043.00,3.0
25-1051,594.0
25-1051.00,10.0
25-1052,1858.0
25-1052.00,50.0
25-1053,338.0
25-1053.00,8.0
25-1054,1655.0
25-1054.00,54.0
25-1060,1.0
25-1061,381.0
25-1061.00,10.0
