AK	1864.0
AL	16674.0
AR	17178.0
AS	62.0
AZ	40846.0
CA	893765.0
CO	39031.0
CT	65097.0
DC	26980.0
DE	29586.0
FL	176983.0
FM	18.0
GA	151045.0
GU	3452.0
HI	6259.0
IA	20436.0
ID	7634.0
IL	313915.0
IN	32368.0
KS	21759.0
KY	23957.0
LA	20091.0
MA	209388.0
MD	176983.0
ME	5437.0
MH	10.0
MI	184846.0
MN	42229.0
MO	44431.0
MP	1350.0
MS	6063.0
MT	1258.0
NC	137208.0
ND	3734.0
NE	13792.0
NH	16540.0
NJ	683275.0
NM	8822.0
NV	11184.0
NY	458207.0
New York	1.0
Newton	2.0
OH	90192.0
OK	13796.0
OR	18198.0
PA	229735.0
PR	3044.0
PW	6.0
RI	15455.0
SC	12822.0
SD	2343.0
Seattle	3.0
TN	41371.0
TX	633373.0
UT	14444.0
VA	205787.0
VI	1182.0
VT	6620.0
WA	138474.0
WI	35845.0
WV	3988.0
WY	1704.0
a Courtyard by Marriott	1.0
bang	11.0
employer_state	1.0
